0,CombatZoneResizeInstant,225,215,415,387
0,HeartTeleport,320,300
0,HeartMode,0
0.25,Sound,Flash,
0,BlackScreen,1
0,HeartTeleport,320,175
0,SansX,800
0.375,PlatformRepeat,430,315,45,2,128,128,96
0,PlatformRepeat,170,250,45,0,128,128,96
0,PlatformRepeat,430,185,45,2,128,128,96
0,PlatformRepeat,170,120,45,0,128,128,96
0,BoneVRepeat,170,357,25,0,128,196,16
0,BoneVRepeat,430,31,25,2,128,128,16
0,BoneVRepeat,252,0,30,1,64,128,80
0,BoneVRepeat,372,430,30,3,64,128,80
0,BlackScreen,0
0,CombatZoneResizeInstant,210,25,430,387
0,Sound,Flash,
0.25,Sound,Ding,
0,HeartMode,1
0,SET,i,0
0,JMPE,48,$i,192
0,MOD,crossBlaster,$i,32
0,JMPNL,46,$crossBlaster,4
0,GetHeartPos,heartX,heartY
0,SUB,gasterStartXTL,$heartX,500
0,SUB,gasterStartYTL,$heartY,500
0,SUB,gasterXTL,$heartX,100
0,SUB,gasterYTL,$heartY,100
0,ADD,gasterStartXTR,$heartX,500
0,SUB,gasterStartYTR,$heartY,500
0,ADD,gasterXTR,$heartX,100
0,SUB,gasterYTR,$heartY,100
0,SUB,gasterStartXBL,$heartX,500
0,ADD,gasterStartYBL,$heartY,500
0,SUB,gasterXBL,$heartX,100
0,ADD,gasterYBL,$heartY,100
0,ADD,gasterStartXBR,$heartX,500
0,ADD,gasterStartYBR,$heartY,500
0,ADD,gasterXBR,$heartX,100
0,ADD,gasterYBR,$heartY,100
0,GasterBlaster,0,$gasterStartXTL,$gasterStartYTL,$gasterXTL,$gasterYTL,45,0.875,0
0,GasterBlaster,0,$gasterStartXTR,$gasterStartYTR,$gasterXTR,$gasterYTR,135,0.875,0
0,GasterBlaster,0,$gasterStartXBR,$gasterStartYBR,$gasterXBR,$gasterYBR,225,0.875,0
0,GasterBlaster,0,$gasterStartXBL,$gasterStartYBL,$gasterXBL,$gasterYBL,315,0.875,0
0,ADD,i,$i,1
0.09375,JMPABS,22
0,Sound,Ding,
0,HeartMode,0
0.25,EndAttack
